,title,score,visitor,blog,address,alt,lon
91,메타스터디카페,None,6,None,전북 전주시 덕진구 기린대로 486-1 한경빌딩 2층,35.84321172,127.1249837
92,포코아포코,None,10,7,전북 전주시 덕진구 떡전로 22 1층 포코아포코,35.8368171,127.1274975
93,유쿠키숍,None,44,19,전북 전주시 덕진구 송천로 40-8 1층 유쿠키숍,35.85692812,127.1187616
94,카페삼십이일,4.82,29,26,전북 전주시 덕진구 건지1길 13-1,35.84397681,127.1394714
95,카페숨쉬다 전북대점,None,4,28,전북 전주시 덕진구 권삼득로 295 (금암동),35.84272453,127.1289671
96,제이델링 전주점,None,16,4,전북 전주시 덕진구 떡전1길 8 1층 제이델링,35.83551631,127.1250092
97,코르커피,4.53,51,8,전북 전주시 덕진구 명륜3길 7,35.842125,127.1269481
98,빽다방 전주서신롯데점,4.32,542,33,전북 전주시 완산구 새터로 122-23,35.83459309,127.1202148
99,파리바게뜨 전주금암점,4.3,606,None,전북 전주시 덕진구 백제대로 639 .,35.84303518,127.1393153
100,파리바게뜨 전북대점,None,229,None,전북 전주시 덕진구 명륜4길 19,35.84365587,127.126874
101,우드케이크,None,8,13,전북 전주시 덕진구 솔내7길 40-9,35.8587772,127.1256908
102,토프레소 전북대점,4.5,20,8,전북 전주시 덕진구 명륜1길 13-1 해오름원룸,35.84095392,127.1296374
103,던킨도너츠전북대병원점,4.31,222,3,전북 전주시 덕진구 건지로 20,35.84788528,127.1411043
104,포트캔커피 전북대점,None,26,1,전북 전주시 덕진구 명륜4길 21-5 1층 102호,35.84395751,127.1264516
105,이디야커피 전주금암점,4.31,305,3,전북 전주시 덕진구 기린대로 398,35.83768402,127.1324951
106,카페 페이보릿띵스,4.44,14,8,전북 전주시 덕진구 백동로 10 1층,35.84703633,127.1476719
107,본죽&비빔밥cafe 전주롯데점,4.35,393,14,전북 전주시 완산구 온고을로 30-18 서신동 한율빌딩 1층,35.83458469,127.1205892
108,이디야커피 전주시외버스터미널점,4.31,176,11,전북 전주시 덕진구 가리내로 33 이디야 시외버스터미널점,35.83396059,127.1324743
109,크리스피크림도넛 롯데전주점,4.37,"2,427",27,전북 전주시 완산구 온고을로 2 롯데백화점전주점 B1,35.83446212,127.1218374
110,투썸플레이스전주백제로점,None,656,22,전북 전주시 덕진구 백제대로 736 새마을금고,35.84531601,127.1495725
111,인솔커피 전주터미널점,None,27,10,전북 전주시 덕진구 가리내로 31 1층,35.83399361,127.1326802
112,더벤티 전주덕진점,None,105,None,전북 전주시 덕진구 사평로 43 1층,35.84145156,127.121213
113,커피니 전주터미널점,4.44,177,8,전북 전주시 덕진구 가리내로 27,35.83396253,127.1330025
114,컬러인커피,4.3,189,9,전북 전주시 덕진구 전주천동로 479 1층,35.83579985,127.1291866
115,폴바셋 롯데백화점 전주점,4.53,"1,922",56,전북 전주시 완산구 온고을로 2 1층,35.83446212,127.1218374
116,공차 전주시외버스터미널점,4.48,764,25,전북 전주시 덕진구 가리내로 25,35.8340112,127.1331591
117,커피인사이드,4.46,36,5,전북 전주시 덕진구 기린대로 380,35.83669003,127.1338694
118,로메인커피,4.05,70,2,전북 전주시 덕진구 떡전5길 24-1 로메인커피,35.83765411,127.1305082
119,투썸플레이스 전주교직원공제회관점,4.17,421,20,전북 전주시 완산구 온고을로 1 한국교직원공제회,35.8333102,127.1221283
120,발그레 디저트,4.44,130,87,전북 전주시 덕진구 건산3길 22-1,35.83296287,127.141588
121,비슘,None,53,28,전북 전주시 덕진구 숲정이2길 45 1층,35.83263998,127.1300752
122,빙그레,4.91,38,24,전북 전주시 덕진구 매봉16길 15 1층,35.83779777,127.1412639
123,Retro707,4.63,12,36,전북 전주시 덕진구 명륜2길 16-10,35.84132374,127.1292769
124,밀의온도,4.26,392,92,전북 전주시 완산구 전룡로 134 101호,35.82911525,127.1272916
125,커피니 전주금암점,4.91,85,6,전북 전주시 덕진구 기린대로 358 영진빌딩 1층,35.835462,127.1356179
126,호두스토리,None,8,None,전북 전주시 덕진구 조경단로 114,35.8443133,127.1385759
127,the man,4.68,27,3,전북 전주시 덕진구 건지3길 10,35.84504059,127.1441884
128,청연,4.43,16,1,전북 전주시 덕진구 기린대로 540,35.84638004,127.1205339
129,boncoffee 전북대점,4.34,149,6,전북 전주시 덕진구 권삼득로 313,35.84368949,127.1277185
130,크리크사이드,4.57,184,43,전북 전주시 덕진구 가리내로 176,35.83877571,127.1181522
131,더리터 덕진점,None,69,1,전북 전주시 덕진구 송천중앙로 37 1층,35.8504767,127.1195364
132,벌크커피 금암점,4.45,353,1,전북 전주시 덕진구 권삼득로 233 1층일부호,35.83854511,127.1336897
133,전주 인터파크 VR,4.78,76,6,전북 전주시 덕진구 기린대로 499,35.8436066,127.123375
134,벨롱상점,4.46,59,31,전북 전주시 덕진구 팔달로 357-23,35.83202671,127.1370205
